Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,Grade
LinearRelationBetweenQuantities,"Lineāra sakarība starp diviem (vairākiem) lielumiem","Linear relationship between quantities","Sakarība formā $y = kx + b$ (vai $y = kx$ — proporcionalitāte). Apvieno standarta tematus par ceļa-laika-ātruma uzdevumiem ($s = vt$), cenas-skaita-samaksas uzdevumiem, kā arī olimpiāžu uzdevumus ar nezināmiem koeficientiem. Tipiska pazīme: ja viens lielums palielinās par konstanti, otrs arī mainās par konstanti.",Alg,Functions,7
DistanceTimeSpeed,"Ceļš = ātrums × laiks","Distance equals speed times time","Klasiskais kustības modelis: $s = vt$. Ietver gan vienkāršus aprēķinus, gan satikšanās, panākšanas, cikliskus (ap apli) un peldēšanas (pa straumi/pret straumi) uzdevumus. Bieži vairāku objektu kustība tiek modelēta kā vienādojumu sistēma.",Alg,Functions,6
ProportionsAndRatios,"Proporcijas un attiecības","Proportions and ratios","Kopuma sadalījums daļās noteiktā attiecībā $a:b:c$, ekvivalentās proporcijas $\frac{a}{b} = \frac{c}{d}$, lielumu salīdzināšana caur attiecībām. Iekļauj recepšu, kausējumu, sastāvdaļu uzdevumus.",Alg,Functions,6
PercentagesAsRatios,"Procenti kā attiecības un izmaiņas","Percentages as ratios and changes","Procentu lietošana, lai aprēķinātu daļu no veselā, pamatu no daļas, vai izmaiņas (palielināšana par n%, samazināšana, vairākkārtējas izmaiņas). Saistīts arī ar finanšu uzdevumiem (atlaides, procentu likmes).",Alg,Functions,6
SystemOfTwoEquations,"Vienādojumu sistēma ar diviem nezināmiem","System of two linear equations","Divu vienādojumu sistēma ar diviem nezināmajiem $x, y$. Atrisina ar substitūcijas vai saskaitīšanas metodi. Tipiski parādās uzdevumos par ""cik bija X un cik Y"" (govis/zosis ar kopā tik kāju, jaunie/vecie biļetes utt.).",Alg,EquationsAndInequalities,8
WordProblemToEquation,"Teksta uzdevuma matemātiskais modelis","Word problem modelling with equations","Vārdiska situācija jāpārveido par vienādojumu (vai sistēmu) ar mainīgajiem. Pamatprasme: izvēlēties, ko apzīmēt ar $x$, izteikt visus pārējos lielumus caur to, sastādīt vienādību no uzdevuma nosacījuma.",Alg,EquationsAndInequalities,7
ParityInvariant,"Paritātes invariants","Parity invariant","Process, kurā pāra/nepāra īpašība saglabājas, pierāda, ka kāds gala stāvoklis nav sasniedzams. Klasika: ""papīra plēšana 5 vai 7 daļās"", ""skaitļiem pieskaita pa pārim"", ""figūru pārklāšana ar domino"" (krāsojuma paritāte).",Comb,GamesAndProcesses,7
ColoringInvariant,"Krāsošanas invariants","Coloring invariant","Pārklājuma vai pārvietošanās uzdevumos rūtiņas tiek krāsotas (parasti šaha galdiņa, vai 3-4 krāsās), un pierāda, ka pārklājošās figūras vienmēr aptver fiksētu krāsu skaitu — līdz ar to neiespējami sasniegt mērķi, kurā šī skaita atšķirība neder.",Comb,GamesAndProcesses,7
ModularInvariant,"Atlikuma (moduļa) invariants","Modular invariant","Process, kurā atlikums pēc moduļa $n$ saglabājas (vai mainās paredzami), pierāda mērķa stāvokļa nesasniedzamību. Piem., skaitlim pieskaita 6 vai atņem 12 — atlikums modulo 3 saglabājas; vai monētu apmaiņas automāts ar invariantu modulo k.",Comb,GamesAndProcesses,8
SumOrProductInvariant,"Summas vai reizinājuma invariants","Sum or product invariant","Procesā kāda saglabājas visu skaitļu summa, reizinājums vai kāda izteiksme no tiem. Piem., ja gājienā divus skaitļus aizstāj ar to summu un starpību, summas paritāte saglabājas; vai kvadrātu summas invariants aizstāšanā.",Comb,GamesAndProcesses,8
MonovariantArgument,"Pusinvariants (monotoni mainīgs lielums)","Monovariant argument","Lielums, kas vienmēr tikai pieaug (vai tikai samazinās) un ir ierobežots. Pierāda, ka process noteikti beigsies, vai sasniegs noteiktu galastāvokli. Piemēri: stikla bumbiņu skaits sarūk; nesakārtotības mērs samazinās šķirošanā.",Comb,GamesAndProcesses,9
SymmetryStrategyInGames,"Simetrijas stratēģija spēlēs","Symmetry strategy in games","Spēlētājs uzvar, atbildot ar gājienu, kas simetrisks pretinieka gājienam (pret asi vai centru). Piem., monētas no 2 vienādām kaudzītēm, gājieni 16 daļās sadalītā riņķī, gājieni $n×n$ tabulā ar pirmo gājienu centrā.",Comb,GamesAndProcesses,7
