L1,L2,Label,TitleLv,TitleEn,DescriptionLv,DescriptionEn,Notes
1,0,Find,Atrast vai aprēķināt,Find or Compute,"Jautājumi, kuru atbilde ir matemātisks objekts, vērtība vai kopa; atbildei jāpievieno pamatojums, ka tā ir pareiza un pilnīga. Virsmezgls tipiem FindAll, FindValue, FindCount, FindOptimal; parasti anotē kādu no apakštipiem.","Questions whose answer is a mathematical object, value or set; the answer must be accompanied by a justification that it is correct and complete. Parent node for FindAll, FindValue, FindCount, FindOptimal; normally one of the subtypes is annotated.",
1,1,FindAll,Atrast visus,Find All,"Atrast visus atrisinājumus un pamatot, ka citu bez atrastajiem nav. Šī prasība parasti ir implicīta: ja nav atrunāts citādi, ""Atrisināt vienādojumu..."", ""Kuriem $x$ ir spēkā..."", ""Kādām skaitļa ... vērtībām ..."" nozīmē atrast visus atrisinājumus un pamatot pilnīgumu.","Find all solutions and justify that there are no others. This requirement is usually implicit: unless stated otherwise, ""Solve the equation..."", ""For which $x$ does ... hold"", ""For which values of ..."" means finding all solutions and justifying completeness.",
1,2,FindValue,Aprēķināt vērtību,Compute a Value,"Aprēķināt vai atrast vērtību, kuras eksistence un viennozīmība ir skaidra jau no formulējuma (""Aprēķini..."", ""Cik liels ir leņķis..."", ""Nosaki funkcijas vērtību...""). Atrisinājums ir aprēķins ar pamatojumu; atsevišķi nav jāpierāda, ka citu atbilžu nav.","Compute or find a value whose existence and uniqueness are clear from the statement itself (""Compute..."", ""How large is the angle..."", ""Determine the value of...""). The solution is a computation with justification; one need not separately prove that no other answers exist.",
1,3,FindCount,Saskaitīt,Find the Count,"Atrast atrisinājumu vai objektu skaitu. Atbilde vienmēr eksistē un ir viens skaitlis no kopas $\{0, 1, 2, \ldots\}$ — tātad FindValue speciālgadījums, kas atstāts kā atsevišķs tips biežuma dēļ. Jautājumi: ""Cik veidos var..."", ""Cik sakņu ir vienādojumam..."". Bieži risināms kā FindAll ar saskaitīšanu.","Find the number of solutions or objects. The answer always exists and is a single number from $\{0, 1, 2, \ldots\}$ — a special case of FindValue, kept as a separate type because of its frequency. Questions: ""In how many ways..."", ""How many roots does the equation have..."". Often solved as FindAll plus counting.",
2,0,FindOptimal,Optimizēt,Find the Optimum,"Atrast labāko (lielāko, mazāko) vērtību vai objektu ar dotajām īpašībām un pamatot, ka labāka nav. Jautājumi: ""Atrast lielāko..."", ""Kāds ir mazākais skaits..."". Atrisinājuma struktūra gandrīz vienmēr ir divdaļīga: piemērs, kas vērtību sasniedz, un novērtējums, ka labāk nevar (sk. hintLabels: ExampleAndBound).","Find the best (largest, smallest) value or object with the given properties and justify that no better one exists. Questions: ""Find the largest..."", ""What is the smallest number of..."". The solution structure is almost always two-part: an example attaining the value, and a bound showing one cannot do better (see hintLabels: ExampleAndBound).",https://problems.ru/view_by_subject_new.php?parent=1902
3,0,Prove,Pierādīt,Prove,"Pierādīt patiesu apgalvojumu — patiesums ir dots formulējumā, jāuzraksta pierādījums (""Pierādīt, ka..."", ""Pamatot, ka...""). Virslīmeni anotē tikai tad, ja kvantoru struktūra ir jaukta vai nav viennozīmīgi nosakāma; citādi izmanto apakštipus FindExample, ProveExistence, ProveUniversal.","Prove a true statement — its truth is given in the statement, and a proof must be written (""Prove that..."", ""Justify that...""). Annotate this parent level only when the quantifier structure is mixed or cannot be determined unambiguously; otherwise use the subtypes FindExample, ProveExistence, ProveUniversal.",
3,1,FindExample,Konstruēt piemēru,Construct an Example,"Uzkonstruēt vienu uzdevuma nosacījumiem atbilstošu piemēru (""Atrast tādu ..., kam ..."", ""Uzraksti piemēru...""). Konstruktīvs eksistences pierādījums: atbilde ir pats piemērs un pārbaude, ka tas der; nekas cits nav jāpamato, un nekonstruktīvi spriedumi (t.sk. no pretējā) šeit neder.","Construct one example satisfying the conditions of the problem (""Find a ... such that ..."", ""Write down an example...""). A constructive existence proof: the answer is the example itself plus a check that it works; nothing else must be justified, and non-constructive arguments (incl. by contradiction) are not acceptable here.",https://problems.ru/view_by_subject_new.php?parent=590
3,2,ProveExistence,Pierādīt eksistenci,Prove Existence,"Pierādīt apgalvojumu ar vadošo eksistences kvantoru: ""Pierādi, ka eksistē..."", ""Pierādi, KA var..."". Parasti pierāda ar konstrukciju (piemēru), bet derīgi arī nekonstruktīvi spriedumi — Dirihlē princips, vidējās vērtības arguments, stratēģijas nozagšana, pierādījums no pretējā.","Prove a statement whose leading quantifier is existential: ""Prove that there exists..."", ""Show THAT it is possible..."". Usually proved by a construction (an example), but non-constructive arguments are also valid — the pigeonhole principle, averaging arguments, strategy stealing, proof by contradiction.","Spēlēs: ""Parādi, KA pirmais spēlētājs var vienmēr uzvarēt"" vai citi, iespējams, nekonstruktīvi eksistences pierādījumi pieder šim tipam."
3,3,ProveUniversal,Pierādīt universālu apgalvojumu,Prove a Universal Statement,"Pierādīt apgalvojumu ar vadošo universālkvantoru: ""visiem"", ""vienmēr"", ""katram"" — vajadzīgs vispārīgs spriedums; ar piemēru pārbaudi nepietiek (izņemot pilnu galīgas kopas pārlasi). Šeit pieder arī neiespējamības apgalvojumi (""Pierādi, ka nevar..."", ""...neeksistē""), jo tie ir universāli noliegumi $\forall \neg$.","Prove a statement whose leading quantifier is universal: ""for all"", ""always"", ""for every"" — a general argument is needed; checking examples is insufficient (except for a complete enumeration of a finite set). Impossibility statements (""Prove that one cannot..."", ""...does not exist"") also belong here, being universal negations $\forall \neg$.",
4,0,Decide,Noskaidrot: ir vai nav,Decide (Prove or Disprove),"Pierādīt vai apgāzt apgalvojumu — patiesuma vērtība nav dota, tā jānoskaidro un jāpamato. Jautājumi sākas ar ""Vai ..."". Virslīmeni anotē tikai tad, ja kvantoru struktūra ir jaukta vai grūti nosakāma (piemēram, ļoti mazā pamatkopā); citādi izmanto apakštipus DecideExistence, DecideUniversal, DetermineWinner.","Prove or disprove a statement — its truth value is not given and must be determined and justified. Questions begin with ""Is it true that / Can ..."". Annotate this parent level only when the quantifier structure is mixed or hard to determine (e.g. over a very small base set); otherwise use the subtypes DecideExistence, DecideUniversal, DetermineWinner.",Agrāk saukts ProveDisprove
4,1,DecideExistence,Vai eksistē?,Decide Existence,"Jautājumi ""Vai var...?"", ""Vai iespējams...?"", ""Vai eksistē...?"". Ja atbilde ir ""jā"" — pietiek uzrādīt vienu piemēru, kurā visas prasības izpildās; ja ""nē"" — vajadzīgs vispārīgs pierādījums.","Questions ""Can one...?"", ""Is it possible...?"", ""Does there exist...?"". If the answer is ""yes"", exhibiting one example satisfying all requirements suffices; if ""no"", a general proof is needed.",
4,2,DecideUniversal,Vai vienmēr?,Decide a Universal Statement,"Jautājumi ""Vai visiem...?"", ""Vai vienmēr...?"", ""Vai noteikti...?"", ""Vai katram...?"". Ja atbilde ir ""jā"" — vajadzīgs vispārīgs pierādījums; ja ""nē"" — pietiek uzrādīt vienu pretpiemēru. Pamatojuma struktūra ir ""spoguļattēls"" tipam DecideExistence — tam ir pedagoģiska vērtība.","Questions ""Is it true for all...?"", ""Always...?"", ""Necessarily...?"", ""For every...?"". If the answer is ""yes"", a general proof is needed; if ""no"", one counterexample suffices. The justification structure mirrors DecideExistence — a fact of pedagogical value.",
4,3,DecideWinner,Kurš uzvar?,Determine the Winner,"Spēļu jautājums ""Kurš uzvar, pareizi spēlējot?"" — jāizvēlas viena no galīgām alternatīvām un tā jāpamato ar stratēģiju uzvarētājam, kas paredz pareizu atbildi uz jebkuru pretinieka gājienu. Formāli tas ir ProveDisprove starp dažām alternatīvām. Ja formulēts ""parādi, KĀ uzvarēt"" — anotē Algorithm; ja ""parādi, KA var uzvarēt"" — ProveExistence.","The game question ""Which player wins under correct play?"" — one of finitely many alternatives must be chosen and justified by a strategy for the winner that answers every possible opponent move. Formally a ProveDisprove among a few alternatives. If phrased ""show HOW to win"" — annotate Algorithm; if ""show THAT one can win"" — ProveExistence.",
