Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,Grade
PositiveIntegers,"Naturālo skaitļu kopa","Positive integers","Skaitļi 1, 2, 3, ... — kopa $\mathbb{N}$. Daudzi olimpiāžu uzdevumi sākas ar frāzi ""dots naturāls skaitlis"", un šī izvēle uzreiz nosaka, ka aplūkojami tikai veseli pozitīvi skaitļi.",NT,NumberSystems,5
WholeIntegers,"Veselo skaitļu kopa","Integers","Naturālo skaitļu, nulles un negatīvo veselo skaitļu kopa $\mathbb{Z} = \{\ldots, -2, -1, 0, 1, 2, \ldots\}$. Vajadzīga gan vienādojumu risināšanā, gan ""bilances"" tipa uzdevumos.",NT,NumberSystems,6
RationalNumbers,"Racionālo skaitļu kopa","Rational numbers","Skaitļi formā $a/b$, kur $a, b$ ir veseli un $b \neq 0$. Olimpiāžu uzdevumos parādās gan kā parastas daļas, gan kā decimāldaļas, gan kā jaukti skaitļi — visas šīs ir vienas un tās pašas struktūras dažādas reprezentācijas.",NT,NumberSystems,6
IrrationalAndReals,"Reālo skaitļu kopa, iracionālie skaitļi","Real numbers and irrationals","Reālie skaitļi $\mathbb{R}$ ietver gan racionālos, gan tādus kā $\sqrt{2}$ vai $\pi$. Skolēnam svarīgi atpazīt, kad uzdevumā parādās iracionalitātes pierādījums (piem., $\sqrt{2}$ nav racionāls).",NT,NumberSystems,9
PositiveAndNegative,"Pozitīvi un negatīvi skaitļi, skaitļa modulis","Positive, negative numbers and absolute value","Skaitļa zīme un modulis $|x|$ kā attālums no nulles. Daudzi uzdevumi prasa atsevišķi aplūkot pozitīvus, negatīvus un nulles gadījumus.",NT,NumberSystems,6
EvenOddParity,"Paritāte (pāra/nepāra)","Parity (even/odd)","Skaitļa īpašība būt pāra vai nepāra; ekvivalenti — atlikums, dalot ar 2. Visvienkāršākā un visbiežāk lietotā struktūra invariantu uzdevumos.",NT,DivisibilityStructures,5
PrimeNumbers,"Pirmskaitļi","Prime numbers","Naturāli skaitļi $p > 1$, kuriem ir tieši divi naturāli dalītāji: 1 un $p$. Skaitļi, kas nav pirmskaitļi un ir lielāki par 1, ir saliktie skaitļi.",NT,DivisibilityStructures,6
DivisibilityRelation,"Dalāmības attiecība","Divisibility relation","Pieraksts $a \mid b$ nozīmē, ka $b$ dalās ar $a$ bez atlikuma. Tā ir bināra relācija uz $\mathbb{N}$ — refleksīva, antisimetriska, tranzitīva (daļējs sakārtojums).",NT,DivisibilityStructures,6
DivisorsSet,"Skaitļa dalītāju kopa","Set of divisors","$D(n)$ — visu naturālu skaitļu kopa, ar kuriem $n$ dalās bez atlikuma. Olimpiādēs bieži jautā par šīs kopas elementu skaitu vai summu.",NT,DivisibilityStructures,6
MultiplesSet,"Skaitļa daudzkārtņu kopa","Set of multiples","Visu skaitļu kopa, kas dalās ar dotu naturālu skaitli $n$: $\{n, 2n, 3n, \ldots\}$.",NT,DivisibilityStructures,6
GCD,"Lielākais kopīgais dalītājs","Greatest common divisor (GCD)","$\gcd(a,b)$ jeb LKD$(a,b)$ — lielākais naturāls skaitlis, kas dala gan $a$, gan $b$. Ja $\gcd(a,b)=1$, skaitļus sauc par savstarpēji pirmskaitļiem.",NT,DivisibilityStructures,7
LCM,"Mazākais kopīgais dalāmais","Least common multiple (LCM)","$\text{lcm}(a,b)$ jeb MKD$(a,b)$ — mazākais naturāls skaitlis, kas dalās gan ar $a$, gan ar $b$. Saistīts ar GCD ar formulu $\gcd(a,b) \cdot \text{lcm}(a,b) = ab$.",NT,DivisibilityStructures,7
PrimeFactorization,"Kanoniskais sadalījums pirmreizinātājos","Prime factorization","Katra naturāla $n > 1$ unikāls pieraksts $n = p_1^{a_1} \cdot p_2^{a_2} \cdots p_k^{a_k}$. Šī struktūra nosaka skaitļa dalītāju skaitu, summu, GCD, LCM utt.",NT,DivisibilityStructures,7
